client_id	path	sentence	up_votes	down_votes	age	gender	accents	variant	locale	segment
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257405.mp3	với Sự thật không thể chối cãi	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257416.mp3	con chào bố	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257423.mp3	Xem thêm các bài thơ khác:	2	1	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257430.mp3	Đêm nay trăng sáng	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257438.mp3	chỉ với một suy nghĩ mà Trinh đã gián tiếp giết người	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257439.mp3	Thật thà là cha dại.	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257443.mp3	Hai hàng mi khép dần lại được quân vào giấc ngủ miên man	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257447.mp3	Tưởng niệm	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257448.mp3	Cô rên nhẹ	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257451.mp3	Gió cứ thổi triền miên	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257467.mp3	Sau khi vệ sinh cá nhân xong xuôi	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257469.mp3	mẹ em liền nói	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257475.mp3	nó không chống đỡ được thì họa lớn sẽ ập đến	2	1	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257479.mp3	trông ngon thật đấy	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257481.mp3	hãy làm bài tập	2	1	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257487.mp3	cho nên hiện tượng này cũng không có gì lạ	2	1	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257488.mp3	Em đứng lặng mắt nhìn ai không nói	2	1	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257499.mp3	để không mơ mộng lung tung nữa	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257502.mp3	Dứt lời Hà mở cửa bước ra bên ngoài	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257503.mp3	Bà ấy đây	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257509.mp3	Trình tự hỏi	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257510.mp3	Hơi thở của chị Mỗi lúc một gấp gáp	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257515.mp3	Thầy nên đi nghỉ ngơi một lát	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257537.mp3	nhưng mà các thầy không gọi ra được	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257540.mp3	Điện thoại Trinh gửi báo có tin nhắn	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257553.mp3	bà lấy nén hương lên bàn thờ của ông	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257554.mp3	Nhưng mà hôm nay hộp sữa có cắm ống mút kia	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257556.mp3	Viết về Hồ Chí Minh	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257560.mp3	Bật ngay dậy rồi bước nhanh vào trong nhà	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257568.mp3	Thế mà bây giờ nhà riêng	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257571.mp3	Ngày mai anh cũng sẽ đem tro cốt của mẹ lên chùa Bồ Đề	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257597.mp3	Có nỗi đau nào khiến nước mắt cạn khô	2	0	teens	female			vi	
bb99c0461bef56ce3ce86b249c3c08535a13f40084a6960c83cd1f6a122d3637d8d44b0aa4d0c5d0bf9eff39d77bf22d329dc0d0b0924aa3ae0af763e3c0e23f	common_voice_vi_25257605.mp3	Nếu không sớm giải quyết được chuyện này	2	0	teens	female			vi	
